ts	phase	decision	why	evidence	result
2026-09-05T00:00:00Z	ground	Implement T24 and probe only for T25	User accepted the recommended next task	docs/tasks/T24-crash-recovery.md; docs/tasks/T25-agent-recovery.md	in progress
2026-09-05T12:27:20Z	design	Selected a recovery engine with worker runtime callbacks	Keeps durable restart transactions separate from PTY ownership without an import cycle	.audit/t24/transaction-design.md; .audit/t24/checkpoint-design.md	implementation in progress
2026-09-05T12:37:27Z	verify	Passed full race tests, vet and module checks	Verify the combined T24 changes with the existing worktree	/tmp/mesh-t24-race.log	passed
2026-09-05T12:37:27Z	integration	Passed 32 of 33 integration scripts on first full run	Remote survival fixture needs existing process ancestry isolation	/tmp/mesh-t24-integration.log	fixing fixture, rerun pending
2026-09-05T12:37:27Z	review	Add current-boot identity to recovery intents	A dispatched worker from a previous boot cannot still be alive, so its reserved ID can be retried safely	internal/recovery/transaction.go	implementation in progress
2026-09-05T12:47:37Z	probe	Retained an offline Codex and Claude compatibility probe	Exact native resume help is available; live invocation association remains unverified	/tmp/mesh-t25-probe-results/mesh-agent-recovery-4fp09a7j/summary.json; scripts/probe-agent-recovery.sh	offline probe passed; live checks pending
2026-09-05T12:47:37Z	shell	Passed real Bash scalar and array hooks plus Zsh 5.9.2 PTY recovery	Verify prompt composition, ownership, history exclusions, checkpoint text and restored directories	integration/helpers/shell_recovery.py; /tmp/mesh-t24-tools/usr/bin/zsh	passed with MESH_TEST_ZSH override
2026-09-05T12:47:37Z	review	Exposed full saved text through mesh logs --previous	The picker preview alone hid retained older checkpoint lines	internal/cli/recovery_output.go; internal/cli/recovery_test.go; integration/helpers/shell_recovery.py	focused checks passed
2026-09-05T12:47:37Z	acceptance	Keep physical power-loss acceptance explicitly pending	No QEMU executable or disposable VM is available in this environment	docs/recovery-powerloss.md	manual procedure retained; not executed
2026-09-05T12:53:40Z	audit	Correct initial timestamp to 2026-09-05T12:17:48Z	The first row used a midnight placeholder; filesystem birth time records log creation	.audit/t24/decisions.tsv birth time from stat	supersedes first-row timestamp
2026-09-05T12:53:40Z	verify	Passed all 34 integration scripts and full race, vet, module checks	Verify SSH recovery and output access with the complete repository	/tmp/mesh-t24-final-checks.log; /tmp/mesh-t24-final-integration.log	passed
2026-09-05T12:53:40Z	lint	Full unlimited lint reports only 11 pre-existing findings	New recovery files and changed recovery paths have no reported lint findings	/tmp/mesh-t24-final-lint.log	unchanged findings remain
2026-09-05T12:53:40Z	verify	Focused checker exposed an intermittent SSH attachment error	The daemon reported not attached instead of preserving the worker ownership rejection	/tmp/mesh-t24-final-cross.log	root-cause investigation in progress
2026-09-05T12:58:33Z	compatibility	Require explicit command selection for legacy interrupted relaunch	An old peer cannot open a saved shell; default recovery must not silently execute its original program	internal/cli/window.go; internal/cli/recovery_test.go	focused CLI tests passed
2026-09-05T12:58:33Z	transport	Add scriptable SSH recovery with the same host-local operation	Exercise real OpenSSH ownership, command arguments and shared reservation behavior	internal/sshd/session.go; integration/recovery_ssh.sh	parser and real SSH checks passed before ordering stress
2026-09-05T13:01:27Z	fix	Route every daemon reply through the same bounded FIFO	Preserve the worker attachment rejection before later resize errors	.audit/t24/attach-response-ordering.md; internal/daemon/server_test.go	regression passes; ten real SSH repeats passed
2026-09-05T13:01:27Z	delivery	Passed final full suite and retained T24 checker after response-order fix	Verify actual final code across all transports and supported build targets	/tmp/mesh-t24-verified-checks.log; /tmp/mesh-t24-verified-integration.log; /tmp/mesh-t24-verified-cross.log; /tmp/mesh-t24-verified-lint.log	34 integrations, race, vet, modules, Linux/Darwin builds pass; 11 existing lint findings
2026-09-05T13:01:27Z	audit	Cross-model review verified final evidence and documented limits	Independent review checked final logs and reproduced the daemon tests	docs/tasks/T24-crash-recovery.md#delivery-notes; /tmp/mesh-t24-verified-checks.log	reviewed by gpt-5.6-sol; VM and broader crash stress remain unrun
2026-09-05T13:03:35Z	audit	Retained raw output from ten independent SSH recovery repetitions	Close the reviewer evidence gap in the earlier agent-reported stress result	/tmp/mesh-t24-ssh-stress.log	ten passes confirmed from raw log
2026-09-05T13:33:31+00:00	push	Stage T24 independently of existing T19 changes	User explicitly requested commit and push; preserve earlier wake work	/tmp/mesh-stage-t24.py; /tmp/mesh-t24-push	isolated snapshot passed 33 integrations and cross-builds
2026-09-05T13:33:31+00:00	fix	Include existing two-line deterministic catalog fixture clock	Real clock ages the fixed August 29 fixture out after seven days	/tmp/mesh-t24-push-tests.log; internal/daemon/tailscale_serve_test.go	reproduced 5/5; fixed test passed 5/5 and full race suite
2026-09-05T13:45:02+00:00	fix	Retain recovery artifacts and serialize automatic cleanup against first recovery	Age/count cleanup could erase saved attempts or recovery begun during reconciliation	internal/daemon/catalog_recovery_test.go; /tmp/mesh-t24-push	regressions failed before and pass after; explicit forgetting preserved
2026-09-05T13:46:02+00:00	verify	Exact independent staged tree passed final verification	Ensure the pushed commit works without pending wake work	/tmp/mesh-t24-push-tests-verified.log; /tmp/mesh-t24-push-integration-verified.log; /tmp/mesh-t24-push-builds-verified.log; /tmp/mesh-t24-push-lint-final.log	race, 33 integrations, vet, modules, Linux/Darwin builds pass; 11 pre-existing lint findings
2026-09-05T13:46:30+00:00	publish	Committed and pushed T24 to origin/main	User explicitly requested push	eb7d26e1c0d96ba4eb2dbcc98769eb92a03bb474; git ls-remote origin refs/heads/main	remote SHA verified; pending T19 changes preserved; temporary worktree removed
